27x27
f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f2 f3
f1 g1 g1 g1 g1 g1 g1 g1 h0 h0 h0 g1 d2 g1 h0 h0 h0 g1 g1 a2 g1 g1 g1 g1 g1 g1 f3
f1 i1 e3 s2 s2 s2 s2 s2 s2 s2 s2 s2 t2 s2 s2 s2 s2 s2 s2 s2 s2 s2 s2 s2 c3 h3 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 g1 h0 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 h1 e0 h3 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 h1 s1 h3 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 s1 g1 p2 g1 k2 g1 r2 g1 g1 g1 g1 g1 s1 h3 f3
f1 g1 e3 s2 s2 s2 t0 s2 s2 s2 s2 s2 x1 s2 s2 s2 s2 s2 e1 g1 g1 g1 g1 g1 s1 h3 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 h3 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 g1 b2 g1 h0 h0 h0 h0 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 g1 c2 s2 s2 s2 s2 s2 s2 s2 t3 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 f3
f1 g1 g1 h1 s1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 h0 g1 h0 g1 h0 g1 h0 g1 g1 s1 g1 f3
f1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 c1 t2 s2 s2 s2 s2 s2 s2 s2 s2 s2 s2 c0 g1 f3
f1 g1 g1 h1 s1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 h1 s1 g1 g1 g1 u2 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 h0 g1 h0 g1 h0 g1 h0 g1 g1 g1 g1 f3
f1 g1 g1 h1 s1 g1 g1 g1 g1 g1 g1 g1 g1 t1 s2 s2 s2 s2 s2 s2 s2 e1 g1 g1 g1 g1 f3
f1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 h1 c1 s2 s2 s2 s2 s2 s2 s2 s2 t3 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 s1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 g1 f3
f1 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f3
